Ticker,Spot,Perf_1D,Perf_1W,Perf_1M,Perf_3M,Sigma_1D,Sigma_1W,HV10,HV30,IV30,IV90,Term_Structure,Skew_1M_25D,Carry,Status,Flag,IV_Z,IV_Pct,IV_1D,IV_5D,Skew_Z,Skew_Pct,Skew_1D,Skew_5D
MOS,23.59,-9.96,-19.52,-18.88,-0.88,-2.14,-2.28,105.25,67.97,67.54,54.15,1.25,-5.55,-55.83,🟢 HEALTHY,Clean,2.67,100.0,11.72,13.12,-0.56,27.3,-1.94,3.8
GDX,80.12,-3.35,-14.09,-20.08,-8.74,-1.01,-1.67,48.98,61.5,56.83,47.75,1.19,2.61,13.81,🟢 HEALTHY,Clean,0.84,77.3,-3.57,5.04,0.07,45.5,5.6,3.81
SIL,79.19,-4.42,-16.02,-18.81,-6.54,-1.21,-1.62,52.53,66.16,68.08,70.09,0.97,-1.33,22.84,🟢 HEALTHY,Clean,1.68,95.5,3.86,11.96,-0.36,45.5,-0.24,-3.5
XLE,59.31,-0.08,2.79,10.34,34.4,-0.09,1.78,17.01,17.72,30.0,27.57,1.09,1.76,43.3,🟢 HEALTHY,Clean,1.1,95.5,3.71,7.22,-0.39,9.1,-0.61,-5.93
XOP,177.12,1.19,5.5,21.82,41.06,0.78,1.92,24.99,26.96,38.78,35.32,1.1,5.1,35.56,🟢 HEALTHY,Clean,0.28,72.7,1.81,2.22,0.47,72.7,2.98,1.91
ITB,88.27,-2.61,-5.17,-21.47,-10.09,-1.89,-2.39,23.3,24.76,37.15,87.93,0.42,4.75,37.28,🟢 HEALTHY,Clean,1.37,86.4,2.16,3.44,0.11,68.2,0.08,-2.63
XLF,49.08,0.18,0.39,-5.98,-10.5,0.16,0.25,12.41,18.73,20.25,21.93,0.92,-80.25,38.72,🟡 WARNING,Clean | ⚠️ Low Skew Outlier,-0.09,50.0,1.0,0.29,-4.0,0.0,-90.13,-89.17
KRE,63.04,-0.24,-0.11,-11.87,-6.25,-0.14,-0.05,11.13,25.16,42.96,30.48,1.41,14.77,74.09,🟢 HEALTHY,Clean,2.22,95.5,11.62,8.55,0.34,77.3,-7.62,7.06
XLI,161.67,-1.46,-1.81,-7.66,3.73,-1.34,-0.85,15.76,18.22,28.98,24.38,1.19,-7.8,45.62,🟡 WARNING,Clean | ⚠️ Low Skew Outlier,2.63,100.0,5.68,5.18,-4.0,0.0,-17.41,-14.78
XLB,46.98,-1.59,-4.49,-10.85,3.55,-1.63,-1.99,14.35,18.49,62.4,47.09,1.33,-20.72,77.0,🟡 WARNING,Clean | ⚠️ High IV Outlier | ⚠️ Low Skew Outlier,4.0,100.0,38.63,36.33,-4.0,0.0,-25.66,-26.28
XME,101.73,-3.27,-6.7,-11.62,-3.27,-1.63,-1.81,34.2,39.11,48.67,63.69,0.76,-4.0,29.73,🟢 HEALTHY,Clean,0.31,63.6,2.8,-2.81,-1.76,0.0,-0.39,-11.57
