Ticker,Strategy,1d,10d,20d,60d,ytd,1y,Sharpe_10d,Sharpe_20d,Sharpe_60d,Sharpe_ytd,Sharpe_1y
SPY,Selling Daily ATM Straddle,-0.005119082220132465,-0.018007333332029196,-0.00797768589200365,0.010816748003855459,0.01905716837059468,0.11165609017713551,-6.489485310382191,-1.736722509339491,0.9574820361828583,0.7648697383302402,2.1415072411413636
SPY,Selling Daily ATM Call,0.004751426574070017,0.007137890985022155,0.0022890697091195733,-0.048756727421111146,-0.021532756755987648,-0.03985830521418765,2.363091130570637,0.531289471428406,-3.2874264934043333,-0.8264117685310108,-0.7800515573187012
SPY,Selling Daily ATM Put,-0.009870508794202593,-0.0253480520487791,-0.010660503186833425,0.061254235515391775,0.03948010792898704,0.15409184213705363,-4.534984511760148,-1.2309448451360785,2.68664002489872,0.9661585806643768,1.842991194640404
SPY,Selling Daily Strangle,-0.004797935881289184,-0.012741312370668112,-0.003916574685451368,0.012897222001033493,0.013584477922051086,0.05692749322285717,-3.2656313231748078,-0.6666975915395784,1.1024008751342207,0.6014050173480096,1.2524727511164986
SPY,Selling Daily 25d Call,0.0014605872229600525,0.0038751976945099464,0.002884243320338431,-0.020652555832379016,-0.0035303921936087335,-0.004015398223709998,3.0780256664689745,1.4765406352394215,-2.9953139149302235,-0.3063430681460517,-0.16843457463346836
SPY,Selling Daily 25d Put,-0.006258523104249125,-0.016658725255885964,-0.006896150802832124,0.03389961580453882,0.016680020202984203,0.06028972971992985,-3.500957316769106,-0.9730048172768742,2.1218762213854667,0.5921746712075381,1.061060417177336
SPY,"Sell 25d Put, Buy 25d Call",-0.007719110327209178,-0.020597665335560733,-0.009913236220865818,0.05512143919586565,0.0195125330185546,0.06313003876492607,-3.5656943541350095,-1.145027472698139,2.5353839946829813,0.5500674515789372,0.8695530708480492
SPY,Stock,-0.01452195757600172,-0.031053111254936816,-0.010347386172006812,0.12309011298570072,0.07671984852710256,0.24194558721451775,-3.5674146172514636,-0.7408087096892704,3.252221325926445,1.2124259458141442,1.8155389891621432
QQQ,Selling Daily ATM Straddle,-0.014575587940781176,-0.025383014584840047,-0.033120807205083924,-0.03263576057356876,-0.017545425191758612,0.04758142040592839,-5.277061873612472,-4.180463578594556,-1.9401644423193947,-0.5270306014543642,0.7662056281401542
QQQ,Selling Daily ATM Call,0.009226725042961403,-0.01942644398766258,-0.016946838179841772,-0.10789775862409856,-0.08030447629440918,-0.11487934909801512,-2.936851816150778,-1.5191814488298634,-4.187824954821622,-1.8862406989886846,-1.5107660634266116
QQQ,Selling Daily ATM Put,-0.02380231298374258,-0.00715121272617647,-0.018158650845193525,0.08067826882388651,0.06328337524816341,0.1752106042886974,-0.7179061404260374,-1.0964932773022542,2.3803071845921346,1.118423328234216,1.5445597991122384
QQQ,Selling Daily Strangle,-0.011165770388036567,-0.01293553407312642,-0.025207667439727133,-0.018036875754734893,-0.007829377784256186,0.030566484954371198,-3.5838296779013112,-3.280195269676794,-1.1076858142068418,-0.2386408259210969,0.5811716591630767
QQQ,Selling Daily 25d Call,0.002528654701049904,-0.0081249565767878,-0.008699218435555545,-0.05606725058595896,-0.03547090844631606,-0.04400153493718417,-2.819879498414002,-1.8691098707902123,-4.495469238529096,-1.7887402478266938,-1.2342441863422096
QQQ,Selling Daily 25d Put,-0.01369442508908636,-0.005096729732581573,-0.017049159464217145,0.03942296028256753,0.027511727094647442,0.07602249606141642,-0.9263575832529692,-1.61087672580199,1.8190634599684599,0.7487307763156636,1.0432042994720794
QQQ,"Sell 25d Put, Buy 25d Call",-0.016223079790136263,0.0026144006808641596,-0.009076299398907639,0.09945083651564324,0.0631932014400427,0.12202996067891125,0.4307700842820456,-0.5692274402944499,3.034503431970773,1.1972172846846032,1.1895527553466547
QQQ,Stock,-0.032929060234433316,0.012183360281393885,-0.0012036220626727712,0.21406212786226964,0.16542826814729916,0.3611741593392974,0.9893218371073981,0.10604703901034815,3.4393494657066914,1.6741999188453935,1.8154855660919755
DIA,Selling Daily ATM Straddle,-0.0016164053360547825,-0.0016004782403140627,-0.0029618588506857835,0.012140900690840173,0.017564736749623444,0.11498533958132406,-0.32813150728857116,-0.4369101412261435,0.7208767669823022,0.5757838185435693,1.1683408541639924
DIA,Selling Daily ATM Call,-0.0003134083259260789,-0.00684385293096712,-0.013497459085456742,-0.04387182026597525,-0.020583770359877684,-0.03667812045083729,-2.8776426504042343,-2.676543919510789,-2.730323693945132,-0.6401603550724458,-0.5496910849796003
DIA,Selling Daily ATM Put,-0.0013029970101287036,0.005144120863872503,0.01037702855545497,0.057550695108044,0.03710135247177049,0.15569271928320583,1.102841788264874,1.3524988526663877,2.550495053320382,0.9212362804713415,1.6353414323534807
DIA,Selling Daily Strangle,-0.0010298395368987245,0.002870815411529337,0.0012824568931144587,0.019511643586760608,0.007153939660417441,0.040247196421005604,1.6160921452704706,0.4432581506810112,2.2464543423540753,0.3821069411845641,1.1058443281555503
DIA,Selling Daily 25d Call,-0.00024171271980999443,-0.002004141495384526,-0.005871944300159471,-0.016897115270122054,-0.00896617123946486,-0.014331505630596597,-1.2767356151296536,-2.0257636621116824,-2.003147058197273,-0.5588534186860331,-0.43355832662536775
DIA,Selling Daily 25d Put,-0.0007881268170887301,0.0048352005367613415,0.007105135070957669,0.03670167321487017,0.01571341826486683,0.05437244174097233,2.163116858340005,1.8161295045920336,2.9252619329905496,0.6394729088248695,1.1590401017742957
DIA,"Sell 25d Put, Buy 25d Call",-0.0005464140972787357,0.006748543928644324,0.012859694581931702,0.05386933228414481,0.023807614293185342,0.06759121544172553,2.0003509992897563,2.0907331824203212,2.7461008114377465,0.6697311987200203,0.9522878745617194
DIA,Stock,-0.0008896108919317358,0.013576613694330053,0.026852974498618787,0.11354916584040975,0.07269367330412524,0.2394616252009305,2.1742376167581203,2.3390249386991027,3.1609894090354222,1.1374239724436392,1.7937612586515002
IWM,Selling Daily ATM Straddle,-0.008266886360700165,-0.008094679859324105,-0.014832410430534293,0.007039670829970923,0.002410951422053609,0.08837720853666253,-2.115063896121161,-2.272829802284744,0.45830352087117404,0.10537511331665061,1.1265978795828722
IWM,Selling Daily ATM Call,0.0007123066655472243,-0.027162405737299444,-0.029057267483543647,-0.07286500376573435,-0.08016173197171028,-0.11986137314772438,-7.542510252996581,-3.627881782697073,-3.0810791131284705,-1.8409167665389876,-1.3148198156455089
IWM,Selling Daily ATM Put,-0.0089791930262475,0.01912715701691914,0.013643937987710908,0.08330676713771035,0.0850021044127065,0.22628008335954441,3.1688064924936947,1.2184102525753024,2.6960465815781465,1.4669393037885565,1.7966999015606164
IWM,Selling Daily Strangle,-0.001650327810452712,0.0004877295830123529,-0.0018188377703238778,0.020297041798476023,0.015460883713546147,0.052909355238549116,0.2615573587732004,-0.4309326587914294,2.0345271390178117,0.6711081032521384,1.143644587791672
IWM,Selling Daily 25d Call,0.001057769633354022,-0.01309323049616884,-0.013131399254187714,-0.03375872470341956,-0.0325588607464381,-0.04938201592134983,-5.2382792703524625,-2.80972799769219,-2.687579688925348,-1.5232995394792292,-1.0430393934673325
IWM,Selling Daily 25d Put,-0.002708097443806845,0.013599073602840184,0.011156661359736919,0.05513514303055178,0.04835727604769269,0.10486127141433443,4.219887770771625,1.720874268644226,3.158462752340443,1.3876257875041589,1.4780131471421132
IWM,"Sell 25d Put, Buy 25d Call",-0.003765867077160867,0.026720739945526262,0.02402740775244827,0.09042468979975893,0.0812467636926526,0.1567670917936983,4.947164084260147,2.284301421083202,3.0994146781110956,1.5337636454779329,1.3878354529344819
